Election,CON Vote Share,CON Seats,LAB Vote Share,LAB Seats,LD Vote Share,LD Seats,PC/SNP Vote Share,PC/SNP Seats,Other Vote Share,Other Seats
1922,0.39,382.0,0.21,57.0,0.26,163.0,0.0,0.0,0.15,105.0
1923,0.38,344.0,0.3,142.0,0.29,115.0,0.0,0.0,0.03,14.0
1924,0.38,258.0,0.31,191.0,0.3,158.0,0.0,0.0,0.02,8.0
1929,0.47,412.0,0.33,151.0,0.18,40.0,0.0,0.0,0.02,12.0
1931,0.38,260.0,0.37,287.0,0.24,59.0,0.0,0.0,0.01,9.0
1935,0.61,522.0,0.31,52.0,0.07,36.0,0.0,0.0,0.01,5.0
1945,0.53,429.0,0.38,154.0,0.07,21.0,0.0,0.0,0.02,11.0
1950,0.4,210.0,0.48,393.0,0.09,12.0,0.0,0.0,0.03,25.0
1951,0.43,298.0,0.46,315.0,0.09,9.0,0.0,0.0,0.01,3.0
1955,0.48,321.0,0.49,295.0,0.03,6.0,0.0,0.0,0.01,3.0
1959,0.5,345.0,0.46,277.0,0.03,6.0,0.0,0.0,0.01,2.0
1964,0.49,365.0,0.44,258.0,0.06,6.0,0.0,0.0,0.01,1.0
1966,0.43,304.0,0.44,317.0,0.11,9.0,0.0,0.0,0.01,0.0
1970,0.42,253.0,0.48,364.0,0.09,12.0,0.01,0.0,0.01,1.0
1979,0.46,330.0,0.43,288.0,0.07,6.0,0.02,1.0,0.01,5.0
1983,0.38,297.0,0.37,301.0,0.19,14.0,0.03,9.0,0.03,14.0
1987,0.36,277.0,0.39,319.0,0.18,13.0,0.03,14.0,0.03,12.0
1992,0.44,339.0,0.37,269.0,0.14,11.0,0.02,4.0,0.03,12.0
1997,0.42,397.0,0.28,209.0,0.25,23.0,0.01,4.0,0.03,17.0
2001,0.42,376.0,0.31,229.0,0.23,22.0,0.02,6.0,0.03,17.0
2005,0.42,336.0,0.34,271.0,0.18,20.0,0.02,7.0,0.03,17.0
2010,0.31,165.0,0.43,418.0,0.17,46.0,0.03,10.0,0.07,20.0
2015,0.32,166.0,0.41,412.0,0.18,52.0,0.03,9.0,0.07,20.0
2017,0.32,198.0,0.35,355.0,0.22,62.0,0.02,9.0,0.08,22.0
1974F,0.36,306.0,0.29,258.0,0.23,57.0,0.02,9.0,0.1,20.0
2019,0.37,330.0,0.3,232.0,0.08,8.0,0.05,59.0,0.2,21.0
1974O,0.42,317.0,0.4,262.0,0.07,12.0,0.04,39.0,0.07,20.0
1918,0.44,365.0,0.32,202.0,0.12,11.0,0.04,52.0,0.08,20.0
